source,device,session_date,total_sessions,sessions_with_visit,sessions_with_product_view,sessions_with_add_to_cart,sessions_with_checkout,sessions_with_purchase,visit_to_product_view_rate,product_view_to_cart_rate,cart_to_checkout_rate,checkout_to_purchase_rate,visit_to_purchase_rate
paid,desktop,2024-12-28,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,,,0.0
paid,mobile,2024-12-28,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,,,0.0
referral,mobile,2024-12-28,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0
email,desktop,2024-12-27,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0
email,mobile,2024-12-27,2,2.0,1.0,0.0,0.0,0.0,0.5,0.0,,,0.0
organic,desktop,2024-12-27,1,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
organic,mobile,2024-12-27,5,5.0,4.0,1.0,0.0,0.0,0.8,0.25,0.0,,0.0
paid,desktop,2024-12-27,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,,,0.0
paid,mobile,2024-12-27,9,9.0,6.0,3.0,1.0,1.0,0.6667,0.5,0.3333,1.0,0.1111
email,desktop,2024-12-26,2,2.0,1.0,0.0,0.0,0.0,0.5,0.0,,,0.0
organic,mobile,2024-12-26,8,8.0,7.0,2.0,1.0,1.0,0.875,0.2857,0.5,1.0,0.125
organic,tablet,2024-12-26,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
paid,desktop,2024-12-26,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0
paid,mobile,2024-12-26,6,6.0,2.0,1.0,1.0,1.0,0.3333,0.5,1.0,1.0,0.1667
referral,desktop,2024-12-26,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0
referral,mobile,2024-12-26,2,2.0,1.0,0.0,0.0,0.0,0.5,0.0,,,0.0
email,desktop,2024-12-25,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
email,mobile,2024-12-25,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
email,tablet,2024-12-25,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
organic,desktop,2024-12-25,2,2.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,,0.0
organic,mobile,2024-12-25,3,3.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
organic,tablet,2024-12-25,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,,,0.0
paid,desktop,2024-12-25,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
paid,mobile,2024-12-25,1,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
referral,mobile,2024-12-25,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0
organic,desktop,2024-12-24,3,3.0,2.0,1.0,1.0,1.0,0.6667,0.5,1.0,1.0,0.3333
organic,mobile,2024-12-24,6,6.0,5.0,0.0,0.0,0.0,0.8333,0.0,,,0.0
organic,tablet,2024-12-24,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
paid,mobile,2024-12-24,8,8.0,6.0,1.0,1.0,0.0,0.75,0.1667,1.0,0.0,0.0
referral,mobile,2024-12-24,1,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
email,mobile,2024-12-23,3,3.0,2.0,1.0,1.0,1.0,0.6667,0.5,1.0,1.0,0.3333
organic,desktop,2024-12-23,6,6.0,4.0,2.0,1.0,0.0,0.6667,0.5,0.5,0.0,0.0
organic,mobile,2024-12-23,9,9.0,8.0,2.0,0.0,0.0,0.8889,0.25,0.0,,0.0
paid,desktop,2024-12-23,2,2.0,1.0,0.0,0.0,0.0,0.5,0.0,,,0.0
paid,mobile,2024-12-23,5,5.0,5.0,2.0,1.0,1.0,1.0,0.4,0.5,1.0,0.2
referral,mobile,2024-12-23,3,3.0,3.0,1.0,0.0,0.0,1.0,0.3333,0.0,,0.0
organic,desktop,2024-12-22,2,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5
organic,mobile,2024-12-22,11,11.0,9.0,0.0,0.0,0.0,0.8182,0.0,,,0.0
paid,desktop,2024-12-22,3,3.0,3.0,1.0,1.0,1.0,1.0,0.3333,1.0,1.0,0.3333
referral,desktop,2024-12-22,2,2.0,1.0,0.0,0.0,0.0,0.5,0.0,,,0.0
referral,mobile,2024-12-22,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
email,desktop,2024-12-21,1,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
organic,mobile,2024-12-21,6,6.0,5.0,1.0,0.0,0.0,0.8333,0.2,0.0,,0.0
organic,tablet,2024-12-21,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
paid,desktop,2024-12-21,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
paid,mobile,2024-12-21,5,5.0,5.0,2.0,1.0,1.0,1.0,0.4,0.5,1.0,0.2
referral,mobile,2024-12-21,2,2.0,1.0,0.0,0.0,0.0,0.5,0.0,,,0.0
email,mobile,2024-12-20,2,2.0,1.0,0.0,0.0,0.0,0.5,0.0,,,0.0
email,tablet,2024-12-20,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
organic,desktop,2024-12-20,4,4.0,3.0,2.0,0.0,0.0,0.75,0.6667,0.0,,0.0
organic,mobile,2024-12-20,5,5.0,3.0,1.0,0.0,0.0,0.6,0.3333,0.0,,0.0
paid,desktop,2024-12-20,2,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5
paid,mobile,2024-12-20,4,4.0,2.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.25
referral,desktop,2024-12-20,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
referral,mobile,2024-12-20,1,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
email,desktop,2024-12-19,2,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,,0.0
email,mobile,2024-12-19,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
organic,desktop,2024-12-19,5,5.0,3.0,1.0,1.0,1.0,0.6,0.3333,1.0,1.0,0.2
organic,mobile,2024-12-19,8,8.0,8.0,1.0,1.0,1.0,1.0,0.125,1.0,1.0,0.125
organic,tablet,2024-12-19,2,2.0,1.0,0.0,0.0,0.0,0.5,0.0,,,0.0
paid,desktop,2024-12-19,3,3.0,2.0,0.0,0.0,0.0,0.6667,0.0,,,0.0
paid,mobile,2024-12-19,6,6.0,4.0,1.0,0.0,0.0,0.6667,0.25,0.0,,0.0
referral,mobile,2024-12-19,3,3.0,3.0,1.0,0.0,0.0,1.0,0.3333,0.0,,0.0
referral,tablet,2024-12-19,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
email,desktop,2024-12-18,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
organic,desktop,2024-12-18,1,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
organic,mobile,2024-12-18,6,6.0,5.0,0.0,0.0,0.0,0.8333,0.0,,,0.0
paid,desktop,2024-12-18,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
paid,mobile,2024-12-18,4,4.0,2.0,1.0,0.0,0.0,0.5,0.5,0.0,,0.0
referral,desktop,2024-12-18,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
referral,mobile,2024-12-18,1,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
email,mobile,2024-12-17,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0
organic,desktop,2024-12-17,2,2.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,,0.0
organic,mobile,2024-12-17,4,4.0,2.0,0.0,0.0,0.0,0.5,0.0,,,0.0
paid,desktop,2024-12-17,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
paid,mobile,2024-12-17,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0
paid,tablet,2024-12-17,1,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
referral,mobile,2024-12-17,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
referral,tablet,2024-12-17,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
email,desktop,2024-12-16,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
email,mobile,2024-12-16,4,4.0,3.0,1.0,0.0,0.0,0.75,0.3333,0.0,,0.0
organic,desktop,2024-12-16,6,6.0,5.0,1.0,1.0,1.0,0.8333,0.2,1.0,1.0,0.1667
organic,mobile,2024-12-16,8,8.0,8.0,1.0,0.0,0.0,1.0,0.125,0.0,,0.0
paid,desktop,2024-12-16,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
paid,mobile,2024-12-16,7,7.0,5.0,2.0,2.0,2.0,0.7143,0.4,1.0,1.0,0.2857
referral,desktop,2024-12-16,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
referral,mobile,2024-12-16,2,2.0,2.0,1.0,0.0,0.0,1.0,0.5,0.0,,0.0
email,desktop,2024-12-15,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,,,0.0
email,mobile,2024-12-15,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,,,0.0
organic,desktop,2024-12-15,3,3.0,2.0,0.0,0.0,0.0,0.6667,0.0,,,0.0
organic,mobile,2024-12-15,8,8.0,6.0,4.0,2.0,2.0,0.75,0.6667,0.5,1.0,0.25
paid,desktop,2024-12-15,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0
paid,mobile,2024-12-15,1,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
paid,tablet,2024-12-15,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,,,0.0
referral,desktop,2024-12-15,2,2.0,2.0,1.0,0.0,0.0,1.0,0.5,0.0,,0.0
referral,mobile,2024-12-15,4,4.0,3.0,0.0,0.0,0.0,0.75,0.0,,,0.0
email,desktop,2024-12-14,3,3.0,3.0,0.0,0.0,0.0,1.0,0.0,,,0.0
email,mobile,2024-12-14,5,5.0,5.0,0.0,0.0,0.0,1.0,0.0,,,0.0
organic,desktop,2024-12-14,4,4.0,4.0,1.0,0.0,0.0,1.0,0.25,0.0,,0.0
organic,mobile,2024-12-14,5,5.0,2.0,1.0,0.0,0.0,0.4,0.5,0.0,,0.0
paid,desktop,2024-12-14,5,5.0,4.0,0.0,0.0,0.0,0.8,0.0,,,0.0
paid,mobile,2024-12-14,3,3.0,2.0,0.0,0.0,0.0,0.6667,0.0,,,0.0
referral,desktop,2024-12-14,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
referral,mobile,2024-12-14,3,3.0,2.0,1.0,0.0,0.0,0.6667,0.5,0.0,,0.0
email,desktop,2024-12-13,3,3.0,3.0,1.0,1.0,1.0,1.0,0.3333,1.0,1.0,0.3333
email,mobile,2024-12-13,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,,,0.0
organic,desktop,2024-12-13,5,5.0,4.0,1.0,1.0,0.0,0.8,0.25,1.0,0.0,0.0
organic,mobile,2024-12-13,7,7.0,7.0,2.0,0.0,0.0,1.0,0.2857,0.0,,0.0
organic,tablet,2024-12-13,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
paid,desktop,2024-12-13,3,3.0,3.0,1.0,0.0,0.0,1.0,0.3333,0.0,,0.0
paid,mobile,2024-12-13,4,4.0,4.0,1.0,0.0,0.0,1.0,0.25,0.0,,0.0
email,mobile,2024-12-12,1,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
organic,desktop,2024-12-12,4,4.0,4.0,3.0,2.0,1.0,1.0,0.75,0.6667,0.5,0.25
organic,mobile,2024-12-12,9,9.0,7.0,1.0,0.0,0.0,0.7778,0.1429,0.0,,0.0
paid,desktop,2024-12-12,3,3.0,3.0,0.0,0.0,0.0,1.0,0.0,,,0.0
paid,mobile,2024-12-12,6,6.0,5.0,2.0,1.0,1.0,0.8333,0.4,0.5,1.0,0.1667
referral,desktop,2024-12-12,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
referral,mobile,2024-12-12,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
email,desktop,2024-12-11,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
email,mobile,2024-12-11,2,2.0,1.0,0.0,0.0,0.0,0.5,0.0,,,0.0
email,tablet,2024-12-11,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
organic,desktop,2024-12-11,9,9.0,9.0,2.0,2.0,2.0,1.0,0.2222,1.0,1.0,0.2222
organic,mobile,2024-12-11,12,12.0,12.0,6.0,5.0,5.0,1.0,0.5,0.8333,1.0,0.4167
organic,tablet,2024-12-11,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
paid,desktop,2024-12-11,5,5.0,5.0,2.0,1.0,1.0,1.0,0.4,0.5,1.0,0.2
paid,mobile,2024-12-11,11,11.0,10.0,4.0,2.0,2.0,0.9091,0.4,0.5,1.0,0.1818
referral,mobile,2024-12-11,2,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5
email,desktop,2024-12-10,2,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5
email,mobile,2024-12-10,2,2.0,2.0,1.0,0.0,0.0,1.0,0.5,0.0,,0.0
email,tablet,2024-12-10,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
organic,desktop,2024-12-10,3,3.0,3.0,2.0,1.0,1.0,1.0,0.6667,0.5,1.0,0.3333
organic,mobile,2024-12-10,7,7.0,3.0,1.0,0.0,0.0,0.4286,0.3333,0.0,,0.0
paid,desktop,2024-12-10,2,2.0,1.0,0.0,0.0,0.0,0.5,0.0,,,0.0
paid,mobile,2024-12-10,5,5.0,4.0,0.0,0.0,0.0,0.8,0.0,,,0.0
referral,desktop,2024-12-10,1,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
referral,mobile,2024-12-10,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
email,desktop,2024-12-09,3,3.0,2.0,0.0,0.0,0.0,0.6667,0.0,,,0.0
email,mobile,2024-12-09,2,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5
email,tablet,2024-12-09,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,,,0.0
organic,desktop,2024-12-09,2,2.0,1.0,0.0,0.0,0.0,0.5,0.0,,,0.0
organic,mobile,2024-12-09,9,9.0,6.0,3.0,0.0,0.0,0.6667,0.5,0.0,,0.0
organic,tablet,2024-12-09,2,2.0,2.0,1.0,0.0,0.0,1.0,0.5,0.0,,0.0
paid,desktop,2024-12-09,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,,,0.0
paid,mobile,2024-12-09,11,11.0,11.0,2.0,0.0,0.0,1.0,0.1818,0.0,,0.0
paid,tablet,2024-12-09,2,2.0,2.0,1.0,0.0,0.0,1.0,0.5,0.0,,0.0
referral,desktop,2024-12-09,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
referral,mobile,2024-12-09,3,3.0,3.0,1.0,0.0,0.0,1.0,0.3333,0.0,,0.0
email,mobile,2024-12-08,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
email,tablet,2024-12-08,1,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
organic,desktop,2024-12-08,4,4.0,3.0,1.0,1.0,1.0,0.75,0.3333,1.0,1.0,0.25
organic,mobile,2024-12-08,9,9.0,8.0,3.0,1.0,1.0,0.8889,0.375,0.3333,1.0,0.1111
paid,desktop,2024-12-08,1,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
paid,mobile,2024-12-08,5,5.0,4.0,1.0,0.0,0.0,0.8,0.25,0.0,,0.0
referral,mobile,2024-12-08,3,3.0,3.0,1.0,0.0,0.0,1.0,0.3333,0.0,,0.0
email,mobile,2024-12-07,2,2.0,1.0,0.0,0.0,0.0,0.5,0.0,,,0.0
organic,desktop,2024-12-07,2,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5
organic,mobile,2024-12-07,13,13.0,11.0,4.0,1.0,1.0,0.8462,0.3636,0.25,1.0,0.0769
organic,tablet,2024-12-07,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
paid,desktop,2024-12-07,3,3.0,3.0,1.0,0.0,0.0,1.0,0.3333,0.0,,0.0
paid,mobile,2024-12-07,10,10.0,8.0,3.0,1.0,1.0,0.8,0.375,0.3333,1.0,0.1
paid,tablet,2024-12-07,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,,,0.0
referral,desktop,2024-12-07,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
email,desktop,2024-12-06,1,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
email,mobile,2024-12-06,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
organic,desktop,2024-12-06,8,8.0,6.0,1.0,1.0,1.0,0.75,0.1667,1.0,1.0,0.125
organic,mobile,2024-12-06,8,8.0,6.0,3.0,1.0,1.0,0.75,0.5,0.3333,1.0,0.125
organic,tablet,2024-12-06,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
paid,desktop,2024-12-06,4,4.0,4.0,0.0,0.0,0.0,1.0,0.0,,,0.0
paid,mobile,2024-12-06,9,9.0,8.0,1.0,1.0,1.0,0.8889,0.125,1.0,1.0,0.1111
referral,desktop,2024-12-06,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
referral,mobile,2024-12-06,2,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5
email,desktop,2024-12-05,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
email,mobile,2024-12-05,5,5.0,5.0,2.0,0.0,0.0,1.0,0.4,0.0,,0.0
organic,desktop,2024-12-05,5,5.0,4.0,0.0,0.0,0.0,0.8,0.0,,,0.0
organic,mobile,2024-12-05,6,6.0,4.0,2.0,0.0,0.0,0.6667,0.5,0.0,,0.0
organic,tablet,2024-12-05,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
paid,mobile,2024-12-05,10,10.0,7.0,3.0,1.0,0.0,0.7,0.4286,0.3333,0.0,0.0
referral,mobile,2024-12-05,3,3.0,3.0,1.0,1.0,1.0,1.0,0.3333,1.0,1.0,0.3333
referral,tablet,2024-12-05,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
email,desktop,2024-12-04,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
email,mobile,2024-12-04,7,7.0,6.0,4.0,0.0,0.0,0.8571,0.6667,0.0,,0.0
organic,desktop,2024-12-04,3,3.0,2.0,0.0,0.0,0.0,0.6667,0.0,,,0.0
organic,mobile,2024-12-04,12,12.0,9.0,2.0,1.0,1.0,0.75,0.2222,0.5,1.0,0.0833
organic,tablet,2024-12-04,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
paid,desktop,2024-12-04,3,3.0,2.0,0.0,0.0,0.0,0.6667,0.0,,,0.0
paid,mobile,2024-12-04,10,10.0,7.0,3.0,1.0,1.0,0.7,0.4286,0.3333,1.0,0.1
email,mobile,2024-12-03,6,6.0,5.0,2.0,0.0,0.0,0.8333,0.4,0.0,,0.0
organic,desktop,2024-12-03,4,4.0,2.0,0.0,0.0,0.0,0.5,0.0,,,0.0
organic,mobile,2024-12-03,9,9.0,9.0,4.0,2.0,2.0,1.0,0.4444,0.5,1.0,0.2222
organic,tablet,2024-12-03,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0
paid,desktop,2024-12-03,2,2.0,1.0,0.0,0.0,0.0,0.5,0.0,,,0.0
paid,mobile,2024-12-03,8,8.0,6.0,2.0,2.0,2.0,0.75,0.3333,1.0,1.0,0.25
paid,tablet,2024-12-03,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
referral,desktop,2024-12-03,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
email,desktop,2024-12-02,1,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
email,mobile,2024-12-02,1,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
organic,desktop,2024-12-02,4,4.0,4.0,0.0,0.0,0.0,1.0,0.0,,,0.0
organic,mobile,2024-12-02,10,10.0,9.0,2.0,0.0,0.0,0.9,0.2222,0.0,,0.0
organic,tablet,2024-12-02,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,,,0.0
paid,desktop,2024-12-02,3,3.0,2.0,1.0,1.0,1.0,0.6667,0.5,1.0,1.0,0.3333
paid,mobile,2024-12-02,13,13.0,12.0,5.0,2.0,2.0,0.9231,0.4167,0.4,1.0,0.1538
referral,mobile,2024-12-02,3,3.0,3.0,0.0,0.0,0.0,1.0,0.0,,,0.0
email,mobile,2024-12-01,5,5.0,5.0,0.0,0.0,0.0,1.0,0.0,,,0.0
organic,desktop,2024-12-01,10,10.0,8.0,3.0,3.0,3.0,0.8,0.375,1.0,1.0,0.3
organic,mobile,2024-12-01,13,13.0,10.0,4.0,2.0,2.0,0.7692,0.4,0.5,1.0,0.1538
paid,desktop,2024-12-01,7,7.0,7.0,2.0,2.0,2.0,1.0,0.2857,1.0,1.0,0.2857
paid,mobile,2024-12-01,3,3.0,2.0,1.0,1.0,1.0,0.6667,0.5,1.0,1.0,0.3333
paid,tablet,2024-12-01,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
referral,desktop,2024-12-01,3,3.0,2.0,0.0,0.0,0.0,0.6667,0.0,,,0.0
referral,mobile,2024-12-01,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
email,desktop,2024-11-30,1,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
email,mobile,2024-11-30,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
organic,desktop,2024-11-30,5,5.0,5.0,3.0,2.0,0.0,1.0,0.6,0.6667,0.0,0.0
organic,mobile,2024-11-30,9,9.0,8.0,4.0,1.0,1.0,0.8889,0.5,0.25,1.0,0.1111
paid,desktop,2024-11-30,3,3.0,3.0,2.0,1.0,1.0,1.0,0.6667,0.5,1.0,0.3333
paid,mobile,2024-11-30,5,5.0,5.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.2
referral,desktop,2024-11-30,2,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5
referral,mobile,2024-11-30,3,3.0,2.0,1.0,0.0,0.0,0.6667,0.5,0.0,,0.0
email,desktop,2024-11-29,4,4.0,4.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.25
email,mobile,2024-11-29,4,4.0,4.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.25
organic,desktop,2024-11-29,5,5.0,4.0,0.0,0.0,0.0,0.8,0.0,,,0.0
organic,mobile,2024-11-29,14,14.0,10.0,2.0,1.0,1.0,0.7143,0.2,0.5,1.0,0.0714
paid,desktop,2024-11-29,6,6.0,4.0,0.0,0.0,0.0,0.6667,0.0,,,0.0
paid,mobile,2024-11-29,13,13.0,11.0,2.0,2.0,2.0,0.8462,0.1818,1.0,1.0,0.1538
paid,tablet,2024-11-29,2,2.0,1.0,0.0,0.0,0.0,0.5,0.0,,,0.0
referral,desktop,2024-11-29,2,2.0,2.0,1.0,0.0,0.0,1.0,0.5,0.0,,0.0
referral,mobile,2024-11-29,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0
email,desktop,2024-11-28,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
email,mobile,2024-11-28,3,3.0,2.0,0.0,0.0,0.0,0.6667,0.0,,,0.0
organic,desktop,2024-11-28,7,7.0,4.0,1.0,0.0,0.0,0.5714,0.25,0.0,,0.0
organic,mobile,2024-11-28,8,8.0,8.0,2.0,1.0,0.0,1.0,0.25,0.5,0.0,0.0
